"Site","WS","gseason","WD","n"
"Canoe","(-Inf,3]","Winter","240",125
"Canoe","(-Inf,3]","Winter","270",236
"Canoe","(-Inf,3]","Winter","300",75
"Canoe","(-Inf,3]","Winter","330",219
"Caribou Pass","(9, Inf]","Summer","0",47
"Caribou Pass","(9, Inf]","Summer","30",71
"Caribou Pass","(9, Inf]","Summer","60",320
"Caribou Pass","(9, Inf]","Summer","90",528
"Caribou Pass","(9, Inf]","Summer","120",551
"Caribou Pass","(9, Inf]","Summer","150",876
"Caribou Pass","(9, Inf]","Summer","180",659
"Caribou Pass","(9, Inf]","Summer","210",991
"Caribou Pass","(9, Inf]","Summer","240",1319
"Caribou Pass","(9, Inf]","Summer","270",952
"Caribou Pass","(9, Inf]","Summer","300",854
"Caribou Pass","(9, Inf]","Summer","330",309
"Caribou Pass","(9, Inf]","Winter","0",85
"Caribou Pass","(9, Inf]","Winter","30",171
"Caribou Pass","(9, Inf]","Winter","60",974
"Caribou Pass","(9, Inf]","Winter","90",1409
"Caribou Pass","(9, Inf]","Winter","120",791
"Caribou Pass","(9, Inf]","Winter","150",1088
"Caribou Pass","(9, Inf]","Winter","180",878
"Caribou Pass","(9, Inf]","Winter","210",1095
"Caribou Pass","(9, Inf]","Winter","240",1303
"Caribou Pass","(9, Inf]","Winter","270",413
"Caribou Pass","(9, Inf]","Winter","300",501
"Caribou Pass","(9, Inf]","Winter","330",143
"Caribou Pass","(6,9]","Summer","0",13
"Caribou Pass","(6,9]","Summer","30",48
"Caribou Pass","(6,9]","Summer","60",58
"Caribou Pass","(6,9]","Summer","90",59
"Caribou Pass","(6,9]","Summer","120",53
"Caribou Pass","(6,9]","Summer","150",43
"Caribou Pass","(6,9]","Summer","180",37
"Caribou Pass","(6,9]","Summer","210",57
"Caribou Pass","(6,9]","Summer","240",75
"Caribou Pass","(6,9]","Summer","270",58
"Caribou Pass","(6,9]","Summer","300",84
"Caribou Pass","(6,9]","Summer","330",64
"Caribou Pass","(6,9]","Winter","0",24
